,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E
1,FIFA Soccer 2004,PS2,2003.0,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,84.0,20.0,6.4,76.0,EA Canada,E
2,LEGO Batman: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,1.8,0.97,0.0,0.29,3.06,74.0,17.0,7.9,22.0,Traveller's Tales,E10+
3,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.02,0.0,0.41,3.0,,,,,,
4,Space Invaders,2600,2005.0,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,,,,,,
5,Rock Band,X360,2011.0,Misc,Electronic Arts,1.93,0.33,0.0,0.21,2.47,92.0,72.0,8.2,178.0,Harmonix Music Systems,T
6,Frogger's Adventures: Temple of the Frog,GBA,2001.0,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,73.0,4.0,tbd,,Konami Computer Entertainment Hawaii,E
7,LEGO Indiana Jones: The Original Adventures,Wii,2008.0,Action,LucasArts,1.51,0.61,0.0,0.21,2.34,78.0,22.0,6.6,28.0,Traveller's Tales,E10+
8,Call of Duty 3,Wii,2007.0,Shooter,Activision,1.17,0.84,0.0,0.23,2.24,69.0,42.0,6.7,61.0,Exakt,T
9,Rock Band,Wii,2011.0,Misc,MTV Games,1.33,0.56,0.0,0.2,2.08,80.0,21.0,6.3,37.0,Harmonix Music Systems,T
10,Gran Turismo Concept 2001 Tokyo,PS2,2001.0,Racing,,0.0,1.1,0.42,0.33,1.84,,,,,,
11,Call of Duty: Black Ops,PC,2013.0,Shooter,Activision,0.58,0.81,0.0,0.23,1.63,81.0,29.0,5.2,1651.0,Treyarch,M
12,Rock Band,PS3,2011.0,Misc,Electronic Arts,0.99,0.41,0.0,0.22,1.62,92.0,35.0,8.4,107.0,Harmonix Music Systems,T
13,Triple Play 99,PS,1998.0,Sports,,0.81,0.55,0.0,0.1,1.46,,,,,,
14,Adventure,2600,1992.0,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,,,,
15,LEGO Batman: The Videogame,PSP,2008.0,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0.0,0.27,1.28,73.0,5.0,7.4,10.0,Traveller's Tales,E10+
16,Combat,2600,,Action,Atari,1.17,0.07,0.0,0.01,1.25,,,,,,
17,LEGO Harry Potter: Years 5-7,Wii,2011.0,Action,Warner Bros. Interactive Entertainment,0.69,0.42,0.0,0.12,1.24,76.0,8.0,7.8,13.0,Traveller's Tales,E10+
18,NASCAR Thunder 2003,PS2,2002.0,Racing,Electronic Arts,0.6,0.46,0.0,0.16,1.22,84.0,16.0,8.7,17.0,EA Sports,E
19,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007.0,Misc,,0.87,0.32,0.0,0.02,1.21,,,,,,
20,Hitman 2: Silent Assassin,XB,2002.0,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,84.0,23.0,8,19.0,Io Interactive,M
21,Rock Band,PS2,2011.0,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,82.0,8.0,6.8,13.0,Harmonix Music Systems,T
22,Legacy of Kain: Soul Reaver,PS,1999.0,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,91.0,17.0,9,132.0,Crystal Dynamics,T
23,Donkey Kong Land III,GB,1997.0,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,,,,,,
24,Air-Sea Battle,2600,1977.0,Shooter,Atari,0.91,0.06,0.0,0.01,0.98,,,,,,
